"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649646,2019,10,10,"2019-10-10","00:24:00",3,"KS",20,0,1.5,0,0,0,0,37.58,-97.59,37.58,-97.59,0,0,0,0,0,173,0,0,0
649647,2019,10,10,"2019-10-10","00:32:00",3,"KS",20,0,1,0,0,0,0,37.53,-97.58,37.53,-97.58,0,0,0,0,0,173,0,0,0
649648,2019,10,10,"2019-10-10","00:34:00",3,"KS",20,0,1,0,0,0,0,37.4,-97.4,37.4,-97.4,0,0,0,0,0,191,0,0,0
649649,2019,10,10,"2019-10-10","00:45:00",3,"KS",20,0,0.75,0,0,0,0,37.66,-97.58,37.66,-97.58,0,0,0,0,0,173,0,0,0
649650,2019,10,10,"2019-10-10","00:50:00",3,"KS",20,0,0.75,0,0,0,0,37.26,-96.98,37.26,-96.98,0,0,0,0,0,35,0,0,0
649651,2019,10,10,"2019-10-10","13:25:00",3,"OK",40,0,1,0,0,0,0,35.1,-96.42,35.1,-96.42,0,0,0,0,0,63,0,0,0
649652,2019,10,10,"2019-10-10","14:42:00",3,"OK",40,0,0.88,0,0,0,0,35.2644,-95.9106,35.2644,-95.9106,0,0,0,0,0,91,0,0,0
649653,2019,10,10,"2019-10-10","15:03:00",3,"OK",40,0,0.75,0,0,0,0,34.24,-97.16,34.24,-97.16,0,0,0,0,0,19,0,0,0
649654,2019,10,10,"2019-10-10","17:22:00",3,"OK",40,0,1,0,0,0,0,34.7205,-95.2951,34.7205,-95.2951,0,0,0,0,0,77,0,0,0
649655,2019,10,10,"2019-10-10","17:55:00",3,"TX",48,0,1,0,0,0,0,32.89,-97.65,32.89,-97.65,0,0,0,0,0,367,0,0,0
649656,2019,10,10,"2019-10-10","18:04:00",3,"TX",48,0,1,0,0,0,0,32.87,-97.61,32.87,-97.61,0,0,0,0,0,439,0,0,0
649657,2019,10,10,"2019-10-10","18:05:00",3,"TX",48,0,0.88,0,0,0,0,32.9,-97.53,32.9,-97.53,0,0,0,0,0,439,0,0,0
649658,2019,10,10,"2019-10-10","18:10:00",3,"TX",48,0,2.5,0,0,1e+05,0,32.77,-97.45,32.77,-97.45,0,0,0,0,0,439,0,0,0
649659,2019,10,10,"2019-10-10","18:12:00",3,"TX",48,0,3,0,0,1e+05,0,32.77,-97.45,32.77,-97.45,0,0,0,0,0,439,0,0,0
649660,2019,10,10,"2019-10-10","18:13:00",3,"OK",40,0,1,0,0,0,0,36.3085,-95.3147,36.3085,-95.3147,0,0,0,0,0,97,0,0,0
649661,2019,10,10,"2019-10-10","18:14:00",3,"TX",48,0,0.75,0,0,0,0,32.77,-97.5,32.77,-97.5,0,0,0,0,0,439,0,0,0
649662,2019,10,10,"2019-10-10","18:27:00",3,"TX",48,0,1.5,0,0,0,0,32.77,-97.48,32.77,-97.48,0,0,0,0,0,439,0,0,0
649663,2019,10,10,"2019-10-10","18:27:00",3,"OK",40,0,0.88,0,0,0,0,35.7489,-95.3642,35.7489,-95.3642,0,0,0,0,0,101,0,0,0
649664,2019,10,10,"2019-10-10","18:52:00",3,"TX",48,0,0.75,0,0,0,0,33.27,-97.25,33.27,-97.25,0,0,0,0,0,121,0,0,0
649665,2019,10,10,"2019-10-10","18:54:00",3,"TX",48,0,0.75,0,0,0,0,33.08,-97.3,33.08,-97.3,0,0,0,0,0,121,0,0,0
649666,2019,10,10,"2019-10-10","19:01:00",3,"TX",48,0,0.75,0,0,0,0,33.02,-97.18,33.02,-97.18,0,0,0,0,0,121,0,0,0
649667,2019,10,10,"2019-10-10","19:13:00",3,"TX",48,0,0.75,0,0,0,0,33.12,-97.02,33.12,-97.02,0,0,0,0,0,121,0,0,0
649668,2019,10,10,"2019-10-10","19:15:00",3,"TX",48,0,1,0,0,0,0,33.57,-97.02,33.57,-97.02,0,0,0,0,0,181,0,0,0
649669,2019,10,10,"2019-10-10","19:20:00",3,"TX",48,0,1.5,0,0,500,0,32.68,-97.93,32.68,-97.93,0,0,0,0,0,367,0,0,0
649670,2019,10,10,"2019-10-10","19:33:00",3,"TX",48,0,0.75,0,0,0,0,33.72,-96.85,33.72,-96.85,0,0,0,0,0,181,0,0,0
649671,2019,10,10,"2019-10-10","19:36:00",3,"TX",48,0,1,0,0,0,0,32.12,-98.55,32.12,-98.55,0,0,0,0,0,93,0,0,0
649672,2019,10,10,"2019-10-10","19:39:00",3,"TX",48,0,0.88,0,0,0,0,33.75,-96.67,33.75,-96.67,0,0,0,0,0,181,0,0,0
649673,2019,10,10,"2019-10-10","19:40:00",3,"TX",48,0,1.75,0,0,10000,0,32.57,-97.58,32.57,-97.58,0,0,0,0,0,221,0,0,0
649674,2019,10,10,"2019-10-10","19:41:00",3,"OK",40,0,1.25,0,0,0,0,33.94,-96.72,33.94,-96.72,0,0,0,0,0,95,0,0,0
649675,2019,10,10,"2019-10-10","19:47:00",3,"TX",48,0,0.75,0,0,0,0,32.75,-97.34,32.75,-97.34,0,0,0,0,0,439,0,0,0
649676,2019,10,10,"2019-10-10","19:57:00",3,"OK",40,0,1.75,0,0,0,0,33.95,-96.64,33.95,-96.64,0,0,0,0,0,95,0,0,0
649677,2019,10,10,"2019-10-10","20:01:00",3,"TX",48,0,1,0,0,0,0,32.75,-96.98,32.75,-96.98,0,0,0,0,0,113,0,0,0
649678,2019,10,10,"2019-10-10","20:25:00",3,"OK",40,0,1.25,0,0,0,0,34.67,-98.17,34.67,-98.17,0,0,0,0,0,31,0,0,0
649679,2019,10,10,"2019-10-10","21:35:00",3,"MO",29,0,1.75,0,0,0,0,37.06,-94.56,37.06,-94.56,0,0,0,0,0,97,0,0,0
649680,2019,10,10,"2019-10-10","21:39:00",3,"MO",29,0,1,0,0,0,0,37.07,-94.54,37.07,-94.54,0,0,0,0,0,97,0,0,0
649681,2019,10,10,"2019-10-10","21:44:00",3,"MO",29,0,1,0,0,0,0,37.04,-94.56,37.04,-94.56,0,0,0,0,0,145,0,0,0
649682,2019,10,10,"2019-10-10","21:48:00",3,"TX",48,0,1,0,0,0,0,32.0336,-97.4336,32.0336,-97.4336,0,0,0,0,0,217,0,0,0
649683,2019,10,15,"2019-10-15","09:35:00",3,"WI",55,0,1,0,0,0,0,44.66,-90.16,44.66,-90.16,0,0,0,0,0,141,0,0,0
649684,2019,10,15,"2019-10-15","10:56:00",3,"WI",55,0,0.75,0,0,0,0,44.69,-89.55,44.69,-89.55,0,0,0,0,0,73,0,0,0
649685,2019,10,15,"2019-10-15","13:05:00",3,"MO",29,0,0.88,0,0,0,0,38.32,-94.44,38.32,-94.44,0,0,0,0,0,13,0,0,0
649686,2019,10,15,"2019-10-15","17:16:00",3,"TX",48,0,1,0,0,0,0,30.57,-97.86,30.57,-97.86,0,0,0,0,0,491,0,0,0
649687,2019,10,15,"2019-10-15","17:33:00",3,"TX",48,0,0.75,0,0,0,0,30.54,-97.8,30.54,-97.8,0,0,0,0,0,491,0,0,0
649688,2019,10,15,"2019-10-15","17:40:00",3,"TX",48,0,1.75,0,0,0,0,30.65,-97.68,30.65,-97.68,0,0,0,0,0,491,0,0,0
649689,2019,10,15,"2019-10-15","17:41:00",3,"TX",48,0,1,0,0,0,0,30.62,-97.64,30.62,-97.64,0,0,0,0,0,491,0,0,0
