"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
619557,2020,10,10,"2020-10-10","04:01:00",3,"AL",1,0,0,0,0,0,0,30.4803,-88.2508,30.4814,-88.2505,0.08,25,1,1,1,97,0,0,0,0
619558,2020,10,10,"2020-10-10","05:40:00",3,"WA",53,0,1,0,0,0,0,47.3688,-123.9473,47.3715,-123.9383,0.5,30,1,1,1,27,0,0,0,0
619559,2020,10,10,"2020-10-10","14:34:00",3,"GA",13,0,1,0,0,250000,0,33.587,-83.877,33.607,-83.884,1.44,75,1,1,1,217,0,0,0,0
619560,2020,10,10,"2020-10-10","15:14:00",3,"AL",1,0,0,0,0,0,0,32.9462,-85.3531,32.9557,-85.3515,0.67,125,1,1,1,17,0,0,0,0
619561,2020,10,10,"2020-10-10","16:12:00",3,"GA",13,0,0,0,0,1e+05,0,33.365,-84.811,33.37,-84.811,0.35,90,1,1,1,77,0,0,0,0
619562,2020,10,10,"2020-10-10","16:18:00",3,"GA",13,0,0,0,0,50000,0,33.402,-84.793,33.4156,-84.7895,0.96,90,1,1,1,77,0,0,0,0
619563,2020,10,10,"2020-10-10","16:27:00",3,"GA",13,0,0,0,0,50000,0,33.1031,-84.4262,33.1331,-84.4181,2.13,200,1,1,1,231,0,0,0,0
619564,2020,10,10,"2020-10-10","17:45:00",3,"GA",13,0,0,0,0,40000,0,33.564,-84.3056,33.5711,-84.3102,0.56,150,1,1,1,63,0,0,0,0
619565,2020,10,10,"2020-10-10","18:16:00",3,"GA",13,0,0,0,0,250000,0,33.7263,-84.2122,33.7495,-84.2212,1.68,250,1,1,1,89,0,0,0,0
619566,2020,10,10,"2020-10-10","18:43:00",3,"GA",13,0,0,0,0,1e+05,0,33.9028,-84.0983,33.9102,-84.1055,0.66,200,1,1,1,135,0,0,0,0
619567,2020,10,11,"2020-10-11","13:20:00",3,"SC",45,0,1,0,0,30000,0,34.3643,-79.5002,34.3683,-79.4929,0.5,40,1,1,1,33,0,0,0,0
619568,2020,10,11,"2020-10-11","14:19:00",3,"SC",45,0,1,1,0,150000,0,33.8767,-79.0725,33.8809,-79.0711,0.3,30,1,1,1,51,0,0,0,0
619569,2020,10,11,"2020-10-11","14:31:00",3,"SC",45,0,0,0,0,20000,0,33.8148,-79.0196,33.8334,-78.9871,2.27,20,1,1,1,51,0,0,0,0
619570,2020,10,11,"2020-10-11","15:51:00",3,"NC",37,0,1,0,0,60000,0,34.1129,-78.6586,34.1723,-78.5948,5.49,30,1,1,1,47,0,0,0,0
