"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","mt"
712012,2021,10,10,"2021-10-10","05:48:00",3,"IL",17,0,60,0,0,0,0,42.4,-89.99,42.4,-89.99,0,0,0,0,0,85,0,0,0,"MG"
712013,2021,10,10,"2021-10-10","06:04:00",3,"IL",17,0,60,0,0,0,0,42.4,-89.99,42.4,-89.99,0,0,0,0,0,85,0,0,0,"MG"
712014,2021,10,10,"2021-10-10","13:59:00",3,"TX",48,0,52,0,0,0,0,34.1802,-102.5455,34.1802,-102.5455,0,0,0,0,0,279,0,0,0,"MG"
712015,2021,10,10,"2021-10-10","14:29:00",3,"TX",48,0,48,0,0,10000,0,33.43,-96.17,33.43,-96.17,0,0,0,0,0,147,0,0,0,"EG"
712016,2021,10,10,"2021-10-10","14:43:00",3,"MN",27,0,50,0,0,5000,0,48.44,-93.03,48.44,-93.03,0,0,0,0,0,137,0,0,0,"EG"
712017,2021,10,10,"2021-10-10","16:29:00",3,"MN",27,0,50,0,0,0,0,47.83,-90.46,47.83,-90.46,0,0,0,0,0,31,0,0,0,"EG"
712018,2021,10,10,"2021-10-10","16:37:00",3,"MN",27,0,50,0,0,0,0,47.87,-90.43,47.87,-90.43,0,0,0,0,0,31,0,0,0,"EG"
712019,2021,10,10,"2021-10-10","16:45:00",3,"OK",40,0,69,0,0,0,0,34.59,-99.33,34.59,-99.33,0,0,0,0,0,65,0,0,0,"MG"
712020,2021,10,10,"2021-10-10","16:59:00",3,"OK",40,0,57,0,0,0,0,34.68,-99.27,34.68,-99.27,0,0,0,0,0,65,0,0,0,"MG"
712021,2021,10,10,"2021-10-10","17:01:00",3,"TX",48,0,56,0,0,0,0,32.92,-99.72,32.92,-99.72,0,0,0,0,0,253,0,0,0,"MG"
712022,2021,10,10,"2021-10-10","17:08:00",3,"OK",40,0,61,0,0,0,0,34.78,-98.88,34.78,-98.88,0,0,0,0,0,75,0,0,0,"EG"
