st,mo,Hail
AK,5,1
AK,6,15
AK,7,8
AK,8,1
AL,1,211
AL,2,352
AL,3,1705
AL,4,2033
AL,5,1277
AL,6,836
AL,7,449
AL,8,303
AL,9,51
AL,10,131
AL,11,114
AL,12,156
AR,1,378
AR,2,505
AR,3,1791
AR,4,3243
AR,5,2203
AR,6,1221
AR,7,677
AR,8,470
AR,9,200
AR,10,412
AR,11,359
AR,12,198
AZ,1,5
AZ,2,12
AZ,3,19
AZ,4,8
AZ,5,30
AZ,6,55
AZ,7,285
AZ,8,311
AZ,9,270
AZ,10,150
AZ,11,15
AZ,12,7
CA,1,66
CA,2,73
CA,3,147
CA,4,83
CA,5,84
CA,6,46
CA,7,115
CA,8,98
CA,9,70
CA,10,41
CA,11,16
CA,12,15
CO,2,2
CO,3,51
CO,4,563
CO,5,2632
CO,6,4896
CO,7,3245
CO,8,2212
CO,9,554
CO,10,84
CT,2,1
CT,3,3
CT,4,9
CT,5,139
CT,6,187
CT,7,183
CT,8,96
CT,9,24
CT,10,6
CT,11,2
CT,12,1
DC,4,4
DC,5,5
DC,6,10
DC,7,11
DC,8,6
DC,11,1
DE,2,1
DE,3,4
DE,4,25
DE,5,36
DE,6,50
DE,7,16
DE,8,18
DE,9,8
DE,10,1
FL,1,80
FL,2,256
FL,3,688
FL,4,707
FL,5,1268
FL,6,1215
FL,7,746
FL,8,358
FL,9,108
FL,10,50
FL,11,20
FL,12,13
GA,1,168
GA,2,303
GA,3,1183
GA,4,1707
GA,5,1884
GA,6,1436
GA,7,804
GA,8,473
GA,9,176
GA,10,115
GA,11,80
GA,12,156
HI,1,2
HI,2,2
HI,3,12
HI,11,1
HI,12,3
IA,1,10
IA,2,71
IA,3,689
IA,4,2518
IA,5,3502
IA,6,3729
IA,7,1933
IA,8,1215
IA,9,869
IA,10,248
IA,11,51
IA,12,14
ID,1,1
ID,2,2
ID,3,6
ID,4,49
ID,5,176
ID,6,262
ID,7,249
ID,8,199
ID,9,68
ID,10,8
ID,11,1
ID,12,1
IL,1,108
IL,2,217
IL,3,956
IL,4,2677
IL,5,2642
IL,6,1852
IL,7,1003
IL,8,816
IL,9,421
IL,10,233
IL,11,194
IL,12,40
IN,1,67
IN,2,89
IN,3,725
IN,4,1379
IN,5,1667
IN,6,1500
IN,7,739
IN,8,548
IN,9,232
IN,10,153
