"st","Hail","Tornado","Wind"
"AL",1.067,15.374,0.5
"AR",0.076,5.64,1.72
"AZ",0,0.002,0.75
"CA",0.02,0.111,0
"CO",6.77,0.41,0
"CT",0.004,0,0
"DC",0,0,0
"DE",0,0,0
"FL",0.153,35.036,2.1
"GA",0.084,37.585,4.6
"HI",0,0,0
"IA",42.134,0.861,4.78
"ID",1.04,0.053,0
"IL",0.062,1.17,0
"IN",0.025,15.381,5.8
"KS",4.728,2.87,1.25
"KY",0.345,16.118,0.4
"LA",0.37,8.25,16.7
"MA",0.016,3.16,0
"MD",0.005,0.29,0
"ME",0,0,0
"MI",0.006,127.853,13
"MN",0.675,2.13,21.64
"MO",1.699,0.74,0.75
"MS",1.849,4.239,0
"MT",0.05,0.002,1.5
"NC",5.263,0.882,1.737
"ND",25.855,0.4,1.512
"NE",17.517,1.065,0
"NH",0,0.75,0
"NJ",0,0.58,0
"NM",30.54,0.08,0.75
"NV",0,0,0
"NY",0.178,1.41,2.285
"OH",0.1,2.97,6.186
"OK",0.056,2.427,2.916
"OR",0,0.08,0
"PA",0,1.34,1.925
"PR",0,0,0.015
"RI",0,0,0.14
"SC",0,1.972,1.094
"SD",2.166,0.022,4.361
"TN",0.159,64.202,3.27
"TX",39.464,144.866,30.602
"UT",0.146,0,0.055
"VA",17.065,1.169,2.293
"VT",0.025,0,0.339
"WA",0.06,0.87,0.166
"WI",0.53,3.201,7.462
"WV",0,0,1.297
"WY",0.079,0.002,0.027
