"st","Hail","Wind","Tornado"
"AK",0,0.005,0
"AL",0.45,3.7363,28.169
"AR",0.592,6.6292,23.013
"AZ",330.0702,16.3812,1.61
"CA",0.102,1.286,3.575
"CO",72.7785,2.424,0.55
"CT",0,4.6456,0.904
"DC",0,0.09,0
"DE",0,0.046,0
"FL",0,0.6159,3.8655
"GA",5.47,5.4976,7.5285
"HI",0,0,0
"IA",13.6602,15.544,759.05
"ID",0,0.2827,0.025
"IL",0.923,17.2868,118.401
"IN",0.5011,2.969,3.7502
"KS",151.4604,6.6417,1.2568
"KY",0.001,2.7405,1.285
"LA",0.0791,6.473,422.659
"MA",0.03,3.4712,0
"MD",0.753,1.4257,0.29
"ME",0,0,0
"MI",175.115,4.103,65.981
"MN",7.69,4.7376,5.1435
"MO",1.2715,1.9963,98.8099
"MS",1.3541,5.8333,367.473
"MT",60.0131,0.5645,33.099
"NC",0.0322,2.1815,24.485
"ND",9.933,9.366,4.865
"NE",0.6253,2.8247,0.876
"NH",0,0.433,0
"NJ",0,2.3868,0.025
"NM",16.2278,0.3282,0.9815
"NV",0.02,0.3085,0
"NY",0.075,4.3048,15.279
"OH",1.366,17.717,147.293
"OK",0.1252,3.4432,9.578
"OR",0,0.245,1.2
"PA",0.706,8.5915,1.63
"PR",5e-04,0,0
"RI",0,0.057,0
"SC",0.307,2.8038,10.16
"SD",7.009,5.39,1.1425
"TN",0.056,7.0185,12.311
"TX",0.9245,11.1055,11.273
"UT",0.02,0.4085,0.025
"VA",0.009,6.0154,1.67
"VT",0.09,1.717,0.05
"WA",0,0.18,0.003
"WI",16.527,2.5541,27.182
"WV",0.003,3.1241,1.075
"WY",47.6909,1.1956,0.121
