"st","Wind","Hail","Tornado"
"AK",0,0,0
"AL",27116900,5000,14980000
"AR",10140000,1396000,399465000
"AZ",9689500,165000,0
"CA",405000,21030,62000
"CO",207120,13000,1545000
"CT",174600,0,36000
"DC",25331000,0,0
"DE",20000,0,0
"FL",1554600,600,3118500
"GA",3336650,600,881000
"HI",0,0,0
"IA",260250,411000,2430500
"ID",275600,57000,0
"IL",1777000,10005000,20300000
"IN",13843200,138500,41867000
"KS",2852300,3642000,75000
"KY",3217750,170000,3349000
"LA",6172750,2e+06,53654500
"MA",197400,0,72000
"MD",74074000,1e+05,2055000
"ME",10000,0,0
"MI",93755000,25574000,87955000
"MN",5552500,15206500,81000
"MO",8678000,15436000,5312000
"MS",18747350,40648100,307828000
"MT",86000,1e+06,2000
"NC",4693200,10000,300615000
"ND",4331000,1847000,0
"NE",7042500,53167250,4143000
"NH",0,0,0
"NJ",60000,0,0
"NM",3218000,5188000,1e+05
"NV",27500,0,20000
"NY",1864250,1000,1800000
"OH",2877700,4000,10036000
"OK",168844000,1475000,62246000
"OR",0,0,0
"PA",4088200,53000,1600000
"PR",46900,2000,80000
"RI",31000,0,285000
"SC",1004850,3000,453000
"SD",10000,0,0
"TN",16107800,5000,195075000
"TX",47658500,2020295500,15565000
"UT",111250,7500,0
"VA",32214900,75000,20075000
"VI",0,1000,0
"VT",668000,0,50000
"WA",414000,10200,0
"WI",1401110,670000,5156000
"WV",1098000,135000,3000
"WY",550250,3005000,2e+05
