st,mo,Tornado
AK,6,2
AK,7,1
AK,11,1
AL,1,191
AL,2,181
AL,3,433
AL,4,605
AL,5,252
AL,6,91
AL,7,76
AL,8,86
AL,9,108
AL,10,126
AL,11,298
AL,12,173
AR,1,153
AR,2,121
AR,3,274
AR,4,483
AR,5,373
AR,6,92
AR,7,63
AR,8,29
AR,9,75
AR,10,87
AR,11,170
AR,12,150
AZ,1,6
AZ,2,10
AZ,3,11
AZ,4,7
AZ,5,18
AZ,6,21
AZ,7,55
AZ,8,56
AZ,9,46
AZ,10,37
AZ,11,15
AZ,12,3
CA,1,56
CA,2,66
CA,3,84
CA,4,59
CA,5,40
CA,6,13
CA,7,17
CA,8,21
CA,9,24
CA,10,19
CA,11,32
CA,12,46
CO,2,2
CO,3,24
CO,4,118
CO,5,574
CO,6,885
CO,7,492
CO,8,244
CO,9,54
CO,10,40
CT,4,2
CT,5,15
CT,6,22
CT,7,36
CT,8,35
CT,9,8
CT,10,8
CT,11,6
DC,4,2
DC,5,1
DC,7,2
DC,9,1
DE,1,1
DE,3,4
DE,4,8
DE,5,4
DE,6,10
DE,7,22
DE,8,14
DE,9,7
DE,10,3
DE,11,1
FL,1,205
FL,2,223
FL,3,338
FL,4,318
FL,5,340
FL,6,540
FL,7,377
FL,8,360
FL,9,376
FL,10,247
FL,11,144
FL,12,163
GA,1,199
GA,2,142
GA,3,274
GA,4,445
GA,5,217
GA,6,120
GA,7,77
GA,8,82
GA,9,82
GA,10,62
GA,11,124
GA,12,134
HI,1,6
HI,2,7
HI,3,11
HI,4,3
HI,5,2
HI,6,1
HI,9,4
HI,11,2
HI,12,5
IA,1,15
IA,2,2
IA,3,167
IA,4,357
IA,5,702
IA,6,771
IA,7,367
IA,8,221
IA,9,126
IA,10,72
IA,11,61
IA,12,75
ID,2,6
ID,3,11
ID,4,26
ID,5,47
ID,6,54
ID,7,27
ID,8,26
ID,9,16
ID,10,8
ID,11,1
ID,12,1
IL,1,45
IL,2,69
IL,3,207
IL,4,553
IL,5,637
IL,6,583
IL,7,230
IL,8,227
IL,9,95
IL,10,65
IL,11,101
IL,12,92
IN,1,25
IN,2,38
IN,3,161
IN,4,296
IN,5,282
IN,6,365
IN,7,155
IN,8,110
IN,9,51
IN,10,74
IN,11,88
IN,12,24
KS,1,3
KS,2,30
KS,3,224
KS,4,619
KS,5,1754
KS,6,987
KS,7,345
KS,8,184
KS,9,147
KS,10,157
KS,11,84
KS,12,16
KY,1,69
KY,2,78
KY,3,135
KY,4,270
KY,5,195
KY,6,143
KY,7,76
KY,8,29
KY,9,22
KY,10,63
KY,11,66
KY,12,51
LA,1,190
LA,2,153
LA,3,245
LA,4,443
LA,5,316
LA,6,149
LA,7,68
LA,8,74
LA,9,134
LA,10,174
LA,11,249
LA,12,166
MA,2,2
MA,3,1
MA,5,15
MA,6,27
MA,7,66
MA,8,49
MA,9,14
MA,10,11
MA,11,6
MA,12,2
MD,1,3
MD,2,9
MD,3,8
MD,4,43
MD,5,60
MD,6,73
MD,7,86
MD,8,47
MD,9,38
MD,10,21
MD,11,23
MD,12,1
ME,5,11
ME,6,27
ME,7,51
ME,8,29
ME,9,7
ME,10,6
ME,11,5
MI,1,1
MI,2,5
MI,3,52
MI,4,114
MI,5,171
MI,6,247
MI,7,197
MI,8,178
MI,9,84
MI,10,38
MI,11,12
MI,12,1
MN,3,26
MN,4,76
MN,5,350
MN,6,680
MN,7,528
MN,8,296
MN,9,128
MN,10,38
MN,11,5
MN,12,23
MO,1,92
MO,2,88
MO,3,235
MO,4,493
MO,5,650
MO,6,333
MO,7,131
MO,8,54
MO,9,113
MO,10,133
MO,11,87
MO,12,135
MS,1,200
MS,2,256
MS,3,366
MS,4,606
MS,5,251
MS,6,128
MS,7,46
MS,8,102
MS,9,136
MS,10,120
MS,11,300
MS,12,225
MT,3,2
MT,4,6
MT,5,47
