st,Tornado,Hail,Wind
AK,3,25,9
AL,1682,6199,13353
AR,1181,8578,11155
AZ,126,960,2885
CA,256,748,757
CO,1269,11719,2948
CT,66,539,1835
DC,5,28,266
DE,20,123,813
FL,1523,4409,10453
GA,1032,7235,16346
HI,14,20,28
IA,1501,12672,12342
ID,100,759,1445
IL,1669,9367,15294
IN,752,5872,11603
KS,2342,30673,18475
KY,786,5313,14987
LA,1213,3791,7500
MA,59,1241,3554
MD,241,1292,6624
ME,54,961,2406
MI,378,4545,9117
MN,1281,12572,9759
MO,1329,15293,13884
MS,1633,6217,12817
MT,188,6952,4773
NC,876,7842,15228
ND,838,7857,4693
NE,1388,19733,9018
NH,27,791,1789
NJ,76,945,4497
NM,252,4068,1592
NV,48,239,739
NY,244,4211,13676
OH,647,6961,15571
OK,1915,18301,14384
OR,82,730,383
PA,490,4183,16820
PR,24,40,100
RI,12,113,257
SC,692,5403,12730
SD,782,13905,9071
TN,881,5586,15850
TX,3668,36181,23068
UT,57,367,1479
VA,535,5251,16225
VI,1,2,1
VT,19,656,1687
WA,78,332,437
WI,688,7053,8885
WV,76,2438,5792
WY,296,4049,1806
GU,0,0,3
