"st","Tornado","Hail","Wind"
"AK",0,0.015,0.015
"AL",28231064.808,5020.8015,42259404.5623
"AR",802429499.915,5674727.5244,35700625.2003
"AZ",865002.459,3301850.8482,37094914.3694
"CA",625635.271,20490770.6495,20184828.492
"CO",2746178.1315,2918422202.8848,4856856.6796
"CT",1438011.328,70000.098,8253309.9203
"DC",200000.002,0,26392502.985
"DE",1.45,0.1,26004.936
"FL",117824064.247,564632.2423,21053058.8909
"GA",380678139.409,44286295.2528,53656528.5798
"GU",0,0,110000
"HI",0.06,0,10000.1
"IA",579383260.41,3214748.7559,23155813.6952
"ID",4504.373,30163701.9018,1451912.0223
"IL",179768522.482,25749190.661,36787803.6762
"IN",77994549.0777,543585.1995,32169754.3959
"KS",105617425.6288,11438209.2219,19533078.1168
"KY",41646902.887,2033987.9073,42626854.3338
"LA",625826678.951,48666073.1066,17092194.084
"MA",11816536.753,3.52,11371183.7682
"MD",8753259.192,203001.12,91378780.0343
"ME",4000.394,1200000,717002.03
"MI",174315360.924,40429876.073,124845652.3984
"MN",39462675.0075,34077788.3985,48997957.898
"MO",256679773.1877,37938317.178,40779722.0116
"MS",526526653.4635,82703543.6266,69592890.0462
"MT",1502039.258,4119597.5117,6762022.2437
"NC",440461644.4435,112505945.3479,56037211.0209
"ND",11214105.808,86784431.63,46298242.4781
"NE",18615364.361,160540224.8973,107699499.586
"NH",13002.91,8000.021,760002.0345
"NJ",5447012.9,0.456,1094823.6883
"NM",4995025.7195,16642616.1367,16391016.1789
"NV",20000.032,55553150.1175,6941406.3589
"NY",7126713.625,167011.1245,31804402.9075
"OH",634650289.988,532840.6868,48528034.5022
"OK",230345053.268,10749211.7382,189145106.5266
"OR",1531202.251,50029.077,1162003.61
"PA",36908158.666,2578505.319,56189569.1834
"PR",190000.26,521400.0055,1183915.4
"RI",1400000.155,0.02,610702.714
"SC",123828574.524,25920.5807,6097141.2213
"SD",18518069.5675,2569160.477,7901020.2971
"TN",1876378418.293,250035.456,91886217.4967
"TX",2213561339.4115,6790957502.182,198257281.6348
"UT",2300173.606,107000.87,1746262.3165
"VA",109626694.643,1143262.5788,112771040.1397
"VI",0,1000,0
"VT",135001.295,69000.566,6440016.876
"WA",1444002.491,220200.3637,6796713.4555
"WI",34693874.0211,56896134.6742,37740868.0729
"WV",2751014.1,6328724.29,10369441.6531
"WY",1504006.144,4024823.4784,698253.3081
