st,mo,Wind
AK,6,3
AK,7,6
AL,1,804
AL,2,967
AL,3,1490
AL,4,2581
AL,5,1990
AL,6,3288
AL,7,2627
AL,8,1833
AL,9,285
AL,10,335
AL,11,557
AL,12,614
AR,1,373
AR,2,510
AR,3,994
AR,4,2082
AR,5,2704
AR,6,2446
AR,7,2257
AR,8,1600
AR,9,623
AR,10,732
AR,11,673
AR,12,317
AZ,1,35
AZ,2,15
AZ,3,29
AZ,4,19
AZ,5,52
AZ,6,187
AZ,7,1362
AZ,8,1449
AZ,9,443
AZ,10,87
AZ,11,22
AZ,12,17
CA,1,102
CA,2,60
CA,3,63
CA,4,41
CA,5,63
CA,6,34
CA,7,156
CA,8,230
CA,9,146
CA,10,37
CA,11,20
CA,12,27
CO,1,1
CO,2,4
CO,3,23
CO,4,133
CO,5,524
CO,6,1214
CO,7,1157
CO,8,613
CO,9,182
CO,10,54
CO,11,3
CO,12,2
CT,1,4
CT,2,28
CT,3,14
CT,4,45
CT,5,279
CT,6,472
CT,7,666
CT,8,447
CT,9,128
CT,10,58
CT,11,58
CT,12,13
DC,1,1
DC,2,5
DC,3,11
DC,4,17
DC,5,30
DC,6,68
DC,7,100
DC,8,59
DC,9,14
DC,10,3
DC,11,7
DE,1,8
DE,2,55
DE,3,30
DE,4,86
DE,5,88
DE,6,219
DE,7,261
DE,8,177
DE,9,44
DE,10,18
DE,11,24
DE,12,4
FL,1,664
FL,2,803
FL,3,1049
FL,4,1626
FL,5,1303
FL,6,3036
FL,7,2312
FL,8,1428
FL,9,596
FL,10,248
FL,11,271
FL,12,312
GA,1,854
GA,2,912
GA,3,1406
GA,4,2334
GA,5,2259
GA,6,4820
GA,7,4250
GA,8,2763
GA,9,506
GA,10,265
GA,11,547
GA,12,348
GU,5,1
GU,8,1
GU,11,1
HI,1,7
HI,2,4
HI,3,5
HI,4,1
HI,10,1
HI,11,1
HI,12,10
IA,1,3
IA,2,21
IA,3,454
IA,4,1103
IA,5,2342
IA,6,5015
IA,7,3725
IA,8,2331
IA,9,920
IA,10,173
IA,11,155
IA,12,219
ID,1,16
ID,2,16
ID,3,77
ID,4,158
ID,5,225
ID,6,418
ID,7,494
ID,8,437
ID,9,119
ID,10,55
ID,11,9
ID,12,13
IL,1,187
IL,2,222
IL,3,785
IL,4,1563
IL,5,2943
IL,6,5125
IL,7,3832
IL,8,2744
IL,9,879
IL,10,531
IL,11,503
IL,12,210
IN,1,282
IN,2,204
IN,3,585
IN,4,1152
IN,5,2376
IN,6,3804
IN,7,3292
IN,8,1830
IN,9,582
IN,10,430
IN,11,524
IN,12,155
KS,1,52
KS,2,165
KS,3,434
